Date,Adjusted Returns
7/9/2016,-0.026209036
8/9/2016,-0.022649681
9/9/2016,0.022398966
12/9/2016,0.02380494
13/9/2016,0.035386857
14/9/2016,0.033998217
15/9/2016,-0.005624067
16/9/2016,-0.011660389
19/9/2016,-8.82E-05
20/9/2016,-0.000176009
21/9/2016,0.009423186
22/9/2016,-0.016663666
23/9/2016,0.00150823
26/9/2016,0.001860406
27/9/2016,0.007604563
28/9/2016,-0.015533064
29/9/2016,0.007755378
30/9/2016,-0.004688242
3/10/2016,0.004265876
4/10/2016,0.000442561
5/10/2016,0.007430222
6/10/2016,0.001492805
7/10/2016,0.01744691
10/10/2016,0.002154281
11/10/2016,0.008942249
12/10/2016,-0.003067996
13/10/2016,0.005556483
14/10/2016,-0.000679932
17/10/2016,-0.000680537
18/10/2016,-0.002979477
19/10/2016,-0.000512495
20/10/2016,-0.003929607
21/10/2016,0.009005261
24/10/2016,0.005099707
25/10/2016,-0.022494693
26/10/2016,-0.009602738
27/10/2016,-0.006638768
28/10/2016,-0.001582893
31/10/2016,-0.018055325
1/11/2016,0.000896961
2/11/2016,-0.010718718
3/11/2016,-0.009014022
4/11/2016,0.014424968
7/11/2016,0.005887149
8/11/2016,-0.001620811
9/11/2016,-0.027868129
10/11/2016,0.005937674
11/11/2016,-0.025085318
14/11/2016,0.013243791
15/11/2016,0.026888183
16/11/2016,-0.000363775
17/11/2016,0.001000616
18/11/2016,0.015173577
21/11/2016,0.000626482
22/11/2016,-0.005098454
23/11/2016,0.005034657
25/11/2016,-0.00196794
28/11/2016,-0.000986022
29/11/2016,-0.008433541
30/11/2016,-0.00931956
1/12/2016,0.00374462
2/12/2016,-0.007188317
5/12/2016,0.007698543
6/12/2016,0.009822697
7/12/2016,0.009817172
8/12/2016,0.016321848
9/12/2016,-0.005704331
12/12/2016,0.016681515
13/12/2016,0
14/12/2016,0.005469113
15/12/2016,0.001295304
16/12/2016,0.005777273
19/12/2016,0.002657614
20/12/2016,0.000940663
21/12/2016,-0.00657774
22/12/2016,0.001977737
23/12/2016,0.006350883
27/12/2016,-0.004264055
28/12/2016,-0.000256945
29/12/2016,-0.007795843
30/12/2016,0.002849431
3/1/2017,-0.001119445
4/1/2017,0.00508538
5/1/2017,0.011148356
6/1/2017,0.009159442
9/1/2017,0.001008465
10/1/2017,0.005373228
11/1/2017,-0.004175383
12/1/2017,-0.001761014
13/1/2017,0.008064585
17/1/2017,-8.35E-05
18/1/2017,-0.001750024
19/1/2017,0.001836728
20/1/2017,0.000666608
23/1/2017,-0.000916005
24/1/2017,0.015920694
25/1/2017,0.00049231
26/1/2017,8.20E-05
27/1/2017,-0.002624111
30/1/2017,-0.002302054
31/1/2017,0.060980689
1/2/2017,-0.001708707
2/2/2017,0.004279168
3/2/2017,0.009373958
6/2/2017,0.009517165
7/2/2017,0.003877358
8/2/2017,0.007225955
9/2/2017,-0.002265437
10/2/2017,0.008855509
13/2/2017,0.012979357
14/2/2017,0.003629096
15/2/2017,-0.001180765
16/2/2017,0.002733719
17/2/2017,0.007220756
21/2/2017,0.002999313
22/2/2017,-0.00423014
23/2/2017,0.000952108
24/2/2017,0.001975696
27/2/2017,0.000438154
28/2/2017,0.020439205
1/3/2017,-0.005937103
2/3/2017,0.005900834
3/3/2017,-0.00314783
6/3/2017,0.001291837
7/3/2017,-0.003727059
8/3/2017,-0.002302245
9/3/2017,0.003317129
10/3/2017,0.000431075
13/3/2017,-0.001508526
14/3/2017,0.010576319
15/3/2017,0.001637487
16/3/2017,-0.004975277
17/3/2017,0.010500544
20/3/2017,-0.011452068
21/3/2017,0.011298708
22/3/2017,-0.003535678
23/3/2017,-0.00198693
24/3/2017,0.001706492
27/3/2017,0.020727021
28/3/2017,0.002225389
29/3/2017,-0.001318482
30/3/2017,-0.00187601
31/3/2017,0.000278416
3/4/2017,0.007445934
4/4/2017,-0.005180308
5/4/2017,-0.002499825
6/4/2017,-0.002227457
7/4/2017,-0.001185911
10/4/2017,-0.010756324
11/4/2017,0.001200237
12/4/2017,-0.005289144
